drug_class,exposure_definition,variable,smd_before,smd_after_ipw
statin,current_use,egfr,0.8812,0.3634
statin,current_use,acr,0.0787,0.0309
statin,current_use,systolic_bp,0.4265,0.2634
statin,current_use,diastolic_bp,0.225,0.0082
statin,current_use,smoking_status,0.0222,0.0253
statin,current_use,diabetes_status,0.7126,0.2196
statin,current_use,physically_active,0.4346,0.1977
statin,current_use,MCQ160B,0.3614,0.0756
statin,current_use,MCQ160C,0.5274,0.0071
statin,current_use,BPQ020,0.9497,0.3711
statin,current_use,BPQ080,1.4378,0.3737
statin,current_use,drug_count,1.5376,0.2538
statin,current_use,drug_ace_inhibitor,0.7321,0.2064
statin,current_use,drug_beta_blocker,0.783,0.1665
statin,current_use,drug_thiazide,0.4663,0.1921
statin,current_use,drug_ppi,0.454,0.127
statin,current_use,drug_ccb,0.5444,0.2246
statin,current_use,drug_metformin,0.6222,0.1242
statin,current_use,drug_arb,0.4922,0.1532
statin,current_use,drug_ssri,0.2419,0.1096
statin,current_use,drug_opioid,0.1662,0.0628
statin,current_use,drug_nsaid,0.1695,0.0892
statin,current_use,drug_antiepileptic,0.2544,0.0792
statin,current_use,drug_loop_diuretic,0.3854,0.0897
statin,current_use,drug_alpha_blocker,0.3291,0.0414
statin,current_use,drug_gout_drug,0.2429,0.0549
statin,current_use,drug_benzodiazepine,0.1529,0.0633
statin,current_use,drug_sulfonylurea,0.4522,0.0968
statin,current_use,drug_thyroid,0.3097,0.1157
statin,current_use,drug_bisphosphonate,0.1809,0.0675
statin,current_use,drug_potassium_sparing,0.1995,0.0483
statin,current_use,drug_count_x_age,1.5733,0.26
statin,current_use,drug_count_x_bmi,1.242,0.219
statin,current_use,drug_count_x_egfr,1.2215,0.2086
statin,current_use,drug_count_x_bmi_missing,0.0327,0.0261
statin,current_use,drug_count_x_egfr_missing,0.0149,0.0103
ace_inhibitor,current_use,RIDAGEYR,1.0188,0.7026
ace_inhibitor,current_use,sex_binary,0.1186,0.0267
ace_inhibitor,current_use,RIDRETH1,0.0199,0.0708
ace_inhibitor,current_use,BMXBMI,0.3366,0.1192
ace_inhibitor,current_use,BMXWAIST,0.5183,0.1893
ace_inhibitor,current_use,INDFMPIR,0.051,0.0014
ace_inhibitor,current_use,LBXSCA,0.1259,0.025
ace_inhibitor,current_use,LBXSUA,0.3777,0.1727
ace_inhibitor,current_use,LBXSPH,0.0283,0.0398
ace_inhibitor,current_use,LBXSC3SI,0.062,0.1007
ace_inhibitor,current_use,LBXSBU,0.4693,0.3326
ace_inhibitor,current_use,LBXSCR,0.23,0.1868
ace_inhibitor,current_use,egfr,0.6963,0.5089
ace_inhibitor,current_use,acr,0.0707,0.1108
ace_inhibitor,current_use,systolic_bp,0.4245,0.3859
ace_inhibitor,current_use,diastolic_bp,0.0958,0.0269
ace_inhibitor,current_use,smoking_status,0.0811,0.0096
ace_inhibitor,current_use,diabetes_status,0.6794,0.2728
ace_inhibitor,current_use,physically_active,0.3749,0.2881
ace_inhibitor,current_use,MCQ160B,0.2896,0.1776
ace_inhibitor,current_use,MCQ160C,0.333,0.165
ace_inhibitor,current_use,BPQ020,1.5226,0.5772
ace_inhibitor,current_use,BPQ080,0.6305,0.3151
ace_inhibitor,current_use,drug_count,1.1944,0.5211
ace_inhibitor,current_use,drug_statin,0.8849,0.3664
ace_inhibitor,current_use,drug_beta_blocker,0.5571,0.4117
ace_inhibitor,current_use,drug_thiazide,0.5747,0.2352
ace_inhibitor,current_use,drug_ppi,0.3009,0.184
ace_inhibitor,current_use,drug_ccb,0.4827,0.3466
ace_inhibitor,current_use,drug_metformin,0.6378,0.1476
ace_inhibitor,current_use,drug_arb,0.3313,0.3041
ace_inhibitor,current_use,drug_ssri,0.1634,0.127
ace_inhibitor,current_use,drug_opioid,0.1569,0.0973
ace_inhibitor,current_use,drug_nsaid,0.1935,0.0994
ace_inhibitor,current_use,drug_antiepileptic,0.1684,0.1206
